"","variable","beta","95%CI","P-value"
"1","clu.group31",0.0824350767322256,"0.033, 0.132",0.00107239211829525
"2","clu.group32",0.0536775154787538,"0.016, 0.091",0.00497886656705353
"3","hc.clusters.31",0.0540913635604923,"0.007, 0.101",0.0253738467394322
"4","hc.clusters.32",0.0335393576812768,"-0.002, 0.069",0.0642885787844371
