"","variable","beta","95%CI","P-value"
"1","PC1",-0.0116187745970088,"-0.018, -0.005",0.00037117433699999
"2","PC2",0.000849241212231799,"-0.009, 0.011",0.865485546780657
"3","PC3",0.00226695202901155,"-0.012, 0.017",0.75916996871327
